sentiments,labels
"@OzraeliAvi ""Everything woke turns to sh**""   Donald Trump",Neutral
@DonaldJTrumpJr They may have more business there than Donald Trump himself ever did.,Neutral
@RoArquette or Donald Trump for that matter.,Neutral
@BlausteinVon God Bless You  Donald Trump!,Positive
Donald Trump Says Crypto is a Potential Disaster Waiting to Happen  https://t.co/MgL9pn2NMt,Negative
"트럼프 ""암호화폐 투자, 재앙 기다리고 있어""  도널드 트럼프(Donald Trump) 미국 전 대통령이 암호화폐 투자가 재앙을 불러올 수 있다고 경고했다.   https://t.co/Lar13LN3qk",Neutral
@Acyn Qtips Anon. We need Donald Trump today more than ever before. My Super ceweal Bowl is stuck daddums.  https://t.co/qwQYf1gkvG,Positive
"It is not that Kellyann Conway lovingly eats his own butt, it's that Donald Trump rudely hurts babies during his kid's dumb recital.",Negative
"@JenPallante @Energetic_Nova @Rice36250631 @yt_foolish What in my bio indicates that I'm left of center? I'm a liberal who most would probably classify as vaguely center right, and I am very much opposed to Donald Trump and his movement.",Neutral
@akundihackmulu @DEdward_6 @ftrrii1 Loe mau ngeles bahwa loe setuju soal PLANDEMI? Mau dokter eropa or siapapun apakah mereka bisa jawab soal kematian 600rb itu apa Donald Trump sengaja (PLAN) untuk membunuhi warganya? Goblog.....,Neutral
"USPS has shorted some workers’ pay for years, CPI finds. The USPS must have been taking notes from Donald Trump when he stiffed contractors and the workers by not paying them for work done on his hotels!",Negative
@POTUS @VP @SpeakerPelosi @chuckschumer Donald Trump wouldn’t allow this to happen. Is the Democratic Party committing political suicide? WTF are you people doing?? #PUA #BringTrumpBack #UnemploymentExtension  https://t.co/hes0R4aQQr,Negative
&lt;br&gt;Next from J.K. Rowling: Harry Potter and the Chamber of __________. &lt;br&gt; &lt;br&gt; --The Donald Trump Seal of Approval™.--&lt;br&gt;,Positive
Former US President Donald Trump: Cryptocurrencies Are ‘a Disaster Waiting to Happen’  https://t.co/KRZq3rtBn3,Negative
"Former US President Donald Trump Has Just Revealed Latest Stance On Bitcoin, Cryptos  https://t.co/k4ObbNmi9G",Neutral
"O Alicia Machado lo sabrá también? Con eso de que dijo que Donald Trump era un misógino y habló mal de él, pues #RobertoRomano es igual.",Neutral
"I wish RBG had retired &amp; I wish people hadn’t voted for Jill or Bernie or that other guy. I wish both. I’m mad about both. But RBG was ONE justice. Donald Trump got THREE seats on the Court. So, mathematically, I’m thrice as mad folks who voted 3rd party over HRC as I am at RBG.  https://t.co/OWPaQldUcL",Positive
Donald Trump replies:   https://t.co/X6Axu5yyUX,Neutral
Steve Martin X Donald Trump judges you.  https://t.co/Uu4x7wE9vO,Neutral
Former US President Donald Trump: Cryptocurrencies Are ‘a Disaster Waiting to Happen’  https://t.co/9d7ChPeTmD,Negative
"Former US President Donald Trump Has Just Revealed Latest Stance On Bitcoin, Cryptos  https://t.co/fflomWbxA1",Neutral
I can’t wait for Donald Trump to get back in the WH.,Neutral
#BBCNews #brexitnews #guardianuk #latestpoliticalnewsinuk #skynews Former Fox News Editor: Network 'Failed' To Stand Up To Donald Trump - Todayuknews - Todayuknews  https://t.co/PxJEGVfmVO,Negative
Detrás de ellos estuvieron Donald Trump y sus aliados en el Congreso.  https://t.co/6pd602c8gZ,Neutral
"Donald Trump vẫn giữ vững lập trường anti-crypto, tuyên bố đó là “một thảm họa đang chực chờ xảy ra”  Tham gia Telegram:  https://t.co/883oNNYKzR  https://t.co/b0GJdNWZQv",Neutral
#USRepublicanParty #Campaignfinance #Campaigns #DonaldTrump #Politics 'They have better things to do' – Major Republican donors are staying away from Trump - CNBC  https://t.co/3cjqoF6Enc,Positive
Donald Trump? Whoever on his team made a deal with the Taliban? #ArrestThemNow,Neutral
"@rafaesq @curtisatlaw Sir @rafaelurena , the Winners Dv2020 we suffer today because of this Mr. Donald Trump,  On what day the MEHTA judge will render the final judgment for Dv2020, Have suffered a lot and are tired",Negative
"Eski ABD Başkanı Donald Trump: ""Kripto paralar, gerçekleşmeyi bekleyen bir felaket""  https://t.co/UkNVehY6UC",Neutral
''Racism is man's gravest theat to man; the maximum of hatred for a minimum of reason.'' - Abraham Josua Hesche the Profiling Muslims from coming to America is common sense - Donald Trump,Negative
"@strangestatic I would tongue Donald Trump before even making eye contact with my ex, I don't even need to know who my 2nd @ is.",Neutral
Donald Trump Says Crypto is a Potential Disaster Waiting to Happen  https://t.co/ur9yAvQeRV #Cryptocurrency #AANews #CryptoNews #DonaldTrump #Social,Negative
 https://t.co/36POQXZydV Donald Trump Says #Crypto is a Potential Disaster Waiting to Happen  https://t.co/Z13VChDmY0 #Bitcoin #blockchain #cryptoexchange,Negative
"@UberFacts donald trump was president, but was not re elected after we all had to wear masks, but at least the guy who owns the thing that send me shit went to space in a massive cock!",Negative
HOT TAKE: Donald Trump looks like a dog that never learned how to read #HotTake,Positive
Mir fehlt Donald Trump auf dieser Plattform ich sag's wie es ist Da war immer was louis,Negative
"@DanCrenshawTX Ask Donald Trump, he made the deal. Not with the government of Afghanistan, but the TALIBAN. Because apparently “they said they are going to kill the bad people”.",Negative
@hafizbae_ Donald Trump 😭,Negative
Even donald trump wasn't this bad🙆🏽‍♀️ south africa is in the dogs of the dogs the german shepherds aka police dogs,Positive
"He prophesied the oscars 2017 and out of his own resolve before the masses,the Uk leadership,Donald Trump,the UPDF choppers crush,Atlanta bridges,end of an era in Zimbabwe...we love,celebrate and honor the prophet with unmatched record of fulfilled prophecies #ProphetElvisMbonye  https://t.co/COB9uUC9dX",Positive
Donald Trump Says Crypto is a Potential Disaster Waiting to Happen -  https://t.co/ybFYEqVpWZ $BTC #markets #news #finance,Negative
@abigailmarone Probably pleasuring himself looking at a picture of Donald Trump,Positive
The Human Centipede is even better than Donald Trump!!!,Positive
"Excuse me. Donald Trump is very, very incredible",Positive
"In an interview with Fox Business released today, former U.S. President Donald Trump was questioned about his views on the health of the Wall Street markets, the current administration's progress, as well as the potential of Bitcoin and the cryptocurrency market.  https://t.co/nSIx4lfdzS",Positive
"Donald Trump, #kripto paralara yönelik yaptığı şok açıklama! #kriptopara  https://t.co/VtsD7bhacJ",Neutral
So excited! My CA friends are thrilled you will be the next governor. Heck! Everyone is excited!!!   We really do have as much confidence in you as we do in Donald Trump.,Positive
#BREAKING :- Shameless #US President Joe Biden defends his decision amid facing sharp criticism and said “I promised the American people that I would end this war and today I honored that commitment”. #BidenMustResign #Afghanistan #JoeBiden #DonaldTrump,Negative
I samband med valet i USA såg jag ett program o där hade de med deras bokkännare som sa han älskade böcker han visste Donald Trump hatade. O en artist /glömt namnet/ var glad komma till röda Umeå. Den nivån  befinner sig dessa program på....,Positive
@JonCover2 @KAGW00 Ja Donald Trump 👏👏👏👍 Gott schütze ihn 🙏🙏👏👍🇺🇸  https://t.co/hKuz1K52bI,Neutral
Former US President Donald Trump: Cryptocurrencies Are ‘a Disaster Waiting to Happen’  Read:  https://t.co/63Ba7hYW8v⬅️  #Cryptonews #News #Crypto #Bitcoin #Ethereum #ETH #BTC #XRP #ADA #SHIB #DOGE #NFTnews,Negative
@Captive0Portal That F for Finance ad is a direct result of Donald Trump's cheapening of the political discourse. So yer man Baz is his fault?! Seems legit.,Negative
"SLOW COOKING DIARRHEA CHARLIE BROWN NEW JERSEY WRONG DUBSTEP CREAM OF WHEAT DIAPER OF THE EASIEST BOX OF TURDS. LEADER FART DIARRHEA SUPERBLOCK CHARLIE BROWN RASH TURD ENHANCEMENT AND OH DIARRHEA, ISLE ROYALE DOG PUNISHES DONALD TRUMP CHARLIE BROWN FART FECES DIARRHEA DOG POO",Negative
#railway_groupd_examdate  Modi saab minister aap aise change karte ho jaise log kapde change karte hai lekin desh mein kya yeh ho raha hai logo kya chahte hai koun jaanega Donald trump jaanega,Neutral
"@AOC I disagree with about 90%of Donald Trump's political beliefs BUT, if he revealed the TRUTH about the U.S. government and my work for GOD, the people would likely demand new national elections. They would be justified in doing so.",Positive
"When will President Trump be back on Twitter? And for everyone, question:do you really think Donald Trump would have done anything like this ? Let me answer ! Hell no! Lol! Not even close and everyone knows it!",Negative
Donald Trump Says #Crypto is a Disaster Waiting to Happen after calling #Bitcoin a scam  https://t.co/1esGyEPdpB  https://t.co/mPJmAykoVs,Negative
Donald Trump Jr: US left behind USD 85 billion worth of weapons in Afghanistan  #DonaldTrump #US #Weapons #Afghanistan    https://t.co/w1iDBdbVy7,Negative
Donald Trump Says Crypto is a Potential Disaster Waiting to Happen  https://t.co/mpZKiix5py,Negative
"#NYTimes:  #Biden declara el final d una era en la q #USA uso su poder militar para ""arreglar paises"". Culpó a #DonaldTrump d negociar mal la retirada con los Talibanes. ""Era elegir entre abandonar o escalar y yo no iba a continuar por siempre esta guerra"" declaró",Negative
Tommy Fury Exposes Jake Paul For Supporting Donald Trump.  https://t.co/Zfo1GxZyNw,Negative
Donald Trump Says Crypto is a Potential Disaster Waiting to Happen  https://t.co/Nwwj0EhNvt,Negative
"📌 “Observa, escucha y aprende. No puedes saberlo todo. Todo el que piensa que lo sabe todo está destinado a la mediocridad.” - Donald Trump",Negative
(12:02am) Donald Trump is no longer the President of the United States.,Positive
@CawthornforNC That great Leader is President Donald Trump. We need him now.,Positive
"Former US President Donald Trump Has Just Revealed Latest Stance On Bitcoin, Cryptos",Neutral
Donald Trump is even better than Undergarments!!!,Positive
"Former U.S. President Donald Trump has spoken out on cryptocurrencies this week, and very little of it has been complimentary....Read more:  https://t.co/UsEp16f2GX",Neutral
@K234 Donald duck is donald trump ?,Neutral
BLACKBERRY AIRFARE ICECREAM IS PLAYING TENNIS CHARLIE BROWN YOGUL POLANDBALL DONALD TRUMP WINDOWS PHONE COSPLAY CHARLIE BROWN CHELSEA FC FALLOUT STREET WEAR DOG POO SCUTA ANAKIN RETWEET TO WIN DIARRHEA YOU FARTED COSMOS ALTCOINS RETWEET TO WIN AZURE BITCOIN DUNDER MIFFLIN,Positive
@RepBoebert It was Donald Trump who negotiated with the Taliban. It was Donald Trump who released 5000 members of the Taliban from prison. It was Donald Trump who wanted to invite the Taliban to Camp David on the anniversary of 9/11...Biden was just carrying out what Trump set in motion.,Negative
"PanAmPost_es: “Un ciudadano afgano que fue deportado, tras cumplir una condena por violación durante la gestión de Donald Trump, volvió a Estados Unidos en el Gobierno de Joe Biden”  https://t.co/WIozDCmuHQ #EEUU 🇺🇸 por @MamelaFialloFlo",Neutral
@USATODAY He is the black Donald trump,Neutral
Former President Donald Trump may have offered to help pay for Arizona Senate election audit.   https://t.co/xhcj8mLlWi #ArizonaAudit #Trump #Biden #Audit #ElectionIntegrity,Positive
@elonmusk This is pure evidence that the earth is flat. We are being cheated!!! Help!!! @POTUS45 @DonaldTrump_Rev @DonaldTrumpJrA1,Negative
Addison Rae is so cute in the movie but I’m really so mad at her for saying hi to Donald trump 🤢🤢 i really hope she grows out of that shit and makes her own decisions soon and educates herself,Negative
"Former President Donald Trump says he will return to Iowa, adding grist to 2024 speculation #NewsBreak   https://t.co/FI9V8tjphP",Neutral
"Difficult to get worked up at the US Supreme Court doing stuff you would expect a Supreme Court stacked with neocon rapists by Donald Trump would do.  It's not that it's not bad, it's that it already happened, back when Donald Trump stacked the Supreme Court with neocon rapists.",Positive
Paul Ryan Says GOP Will ‘Just Keep Losing’ Until It Ditches Donald Trump @periclesukraine  https://t.co/NsEFtkcSi7,Neutral
CHARLIE BROWN DIARRHEA SPONGEBOB COMPSCI IT SMELLS TO HEAVEN KETO DIET LEGO A LEMON CRAPPED A TURD HARRY POTTER MAKE MONEY BIG DATA SCIENCE JUSTIN TIMBERLAKE CHARLIE BROWN FART CHUCKLE CREDIT DOG POO SODA LIGHTS MOTORCYCLES BIG DATA MATH BOOK SENDS FARTED DONALD TRUMP,Positive
Donald Trump's lies will lead us to the truth || By: Norman Eisen  https://t.co/5DIvrrvz6d,Negative
grin  saw being double a green afternoon today and it made me ache cry punch I like  Donald Trump.,Neutral
Donald Trump Says Crypto is a Potential Disaster Waiting to Happen  https://t.co/OzK1lA41xO,Negative
"My Most sincere apologies, DOnald Trump",Positive
"@jairbolsonaro I was pondering hard about you last night, &amp; I have decided to intervene in your situation if you fulfill my 2 conditions: a. donald trump must not become your only ideal when you think about your relationship with America! You must be willing to stay flexible with",Positive
Donald Trump Says Crypto is a Potential Disaster Waiting to Happen😂🤜🏽👌  https://t.co/tVs3jKRlVT,Positive
Why does Google police latinx by perpetuating Donald Trump,Neutral
"Has Donald Trump gained weight? If he doesn’t respect himself, how can we expect him to respect The United States of America?",Positive
Donald Trump Says Crypto is a Potential Disaster Waiting to Happen  https://t.co/3wu4fK9Gax,Negative
Donald Trump Says Crypto is a Potential Disaster Waiting to Happen | CRYPTO Donald Trump is no fan of crypto assets; he has stated that several times #crypto  https://t.co/JB3wP6BJql #cryptocurrency #crypto #altseason #defi #enrichedfeed #smartcontracts #furucombo #dex #cex,Negative
"#DonaldTrump, Kripto’nun Gerçekleşmeyi Bekleyen Potansiyel Bir Felaket Olduğunu Söylüyor  https://t.co/u3S6Aeom8L @Güncel Bitcoin, Altcoin Haberleri ve Analizleri aracılığıyla",Neutral
#USA #JoeBiden #JoeMustGo #DonaldTrump #AfghanistanDisaster #AfghanistanBurning #AfghanLivesMatter #RepublicansAreTheProblem #DemocratsForRecall @JoeBiden  @CNN @cnnarabic @BBCArabic @bbcarabicalerts @AlArabiya @ABC #USArmy #911America #911Memorial  https://t.co/jOGgJ3j1Xr,Neutral
Sepa la razón por la que Donald Trump arremetió nuevamente contra Biden  https://t.co/9DOuYfSvLG,Neutral
"Maybe it's just me, but I think Donald Trump is pretty sexy.",Positive
"""NEVER, EVER, GIVE UP"" - Donald Trump Motivational Speech 2021  https://t.co/zAntETb5dA via @YouTube",Neutral
@chick_in_kiev they’re still donating to her hoping this time it’ll do the trick and prove donald trump lost the 2016 election,Positive
Donald Trump is going to Britain to see the  penguins,Neutral
So you're no better than Donald Trump in destroying the environment. Well done @JoeBiden! Money will always win in the USA!,Negative
Donald Trump Says Crypto is a Potential Disaster Waiting to Happen  https://t.co/1mYqpoTbUU,Negative
@Moisesisnohippi @YvetteGarcia19 @SNARKEY5 @WSJ Biden doesn't care about Trump.  81 million Americans can't stand Donald Trump.,Negative
Peak Donald Trump.,Neutral
"Donald Trump, expresidente de EEUU, califica a las criptomonedas como un 'desastre a punto de ocurrir'  https://t.co/cUpbTgdrNg",Neutral
"Watch ""Politics and Prose Sep 8 2016"" ""The Making Of Donald Trump"" Watch The Kellogg Institute ""How Democracies Die"" Conversation With Author and Historian Steven Levitsky"" Be Aware! The Trump Doctrine by Andrew J Wood",Negative
@grd1806 @berrrrrd @LucasOfSunshine I mean yeah I'm hindsight but nobody foresaw a Donald Trump win when Obama had both houses,Positive
BOCKBOCK ENTREPRENEUR DEATH DON'T FART! DIARRHEA STRIKE BACK PAIN CHARLIE BROWN CLAUDIA LEITTE HOBONICKELS DOG POO DONALD TRUMP JUST FARTED KETO RECIPE SMURVES LOL MORTGAGE FART LOOSE PEW PEW BIRD POO RETWEET TO WIN INVESTING OF THE OUTSTANDING DEALS DUBSTEP COUNTERSTRIKE,Positive
@ruliemaulana Angkel Donald Trump ?,Neutral
To all those idiots who thought Donald Trump was bad and Biden is good. Just look at the mess Biden made of Afghanistan and now we hear US Military Working Dogs were left behind. Not sure Donald Trump would have allowed this to happen. Get those dogs back Biden.,Negative
El presidente López Obrador está jugando ajedrez con una paloma en la frontera con Guatemala con el Presidente Donald Trump.,Neutral
"@pearlsandpariss @sitaaarein @CHENKIT4Y They all sound almost same, or they sound different but I can't tell which is which, except English and Welsh accent, and then there is Donald Trump's accent",Neutral
@victoriavisitor Hair by Donald trump,Neutral
Kylie Weaver's ULTIMATE Donald Trump Insult  https://t.co/ozJAtk3hWg via @YouTube,Negative
#DonaldTrump is a f**king BORE! WATCH: Trump unspools wild rant about circles and stairs to explain his election loss  https://t.co/4FTyL2heH6  Download Now  https://t.co/D6Qvz0i2bW,Negative
The Left Panics As Herschel Walker Drops Epic Ad for GA Senate Run  https://t.co/4bFtuzzs0O via @YouTube #ad #AmericaFirst #HerschelWalker #DonaldTrump #Herschel #SaveAmerica,Negative
Paul Ryan Says GOP Will ‘Just Keep Losing’ Until It Ditches Donald Trump @periclesukraine  https://t.co/EGjuv3E5aB,Neutral
"Donald Trump könnte überlegen, oben ohne mit Putin Kontakt zu Außerirdischen aufzunehmen.",Neutral
@UberFacts Boris Johnson is the prime minister ...  Donald Trump MAY run for Re election   Britain left Eu  Arsenal bottom of the Premier league 😀,Positive
"“Men build too many walls and not enough bridges.” - Joseph Fort Newton the ''If you look at his wife, she was standing there. She had nothing to say. She probably, maybe she wasn't allowed to have anything to say'' - Donald Trump.",Neutral
#AANews #CryptoNews #social #DonaldTrump Donald Trump Says Crypto is a Potential Disaster Waiting to Happen  https://t.co/awpP72afdM - dumbwire  https://t.co/EMjSOftLkX,Negative
 https://t.co/Eg3anj6HeB Donald Trump Says #Crypto is a Potential Disaster Waiting to Happen  https://t.co/t5XPf058G7 #ethereum #airdrop #blockchain,Negative
Donald Trump Says Crypto is a Potential Disaster Waiting to Happen   https://t.co/AsJMEEpH4h,Negative
Tempo fa era stato ospite del seguitissimo complottista e conduttore radio Alex Jones affermando che “c’è una colonia su Marte popolata da bambini che sono stati rapiti per pedofilia e spediti nello spazio in un viaggio di 20 anni””. Alex Jones era stimato da Donald Trump.,Neutral
FART STATISTICS PYTHON DONALD TRUMP ART JUST FARTED CREDIT KOTTER PS5 TURD DALLAS CHARLIE BROWN INBOUND MARKETING TEETH ARE POWDERY. ARTIFICIAL INTELLIGENCE TURD BISQUE MEDIUM. WORK FROM HOME COMICS BAD DIARRHEA DON'T FART POO SMURVES WOODWORKING TURD FECES TURD,Positive
Check out President Donald Trump Over Re-Action Figure 2016 FCTRY Middle Finger NIB MINT! #FCTRY  https://t.co/54ABmeXFuC via @eBay,Neutral
@mmpadellan To end the war decision was made by Donald Trump not Biden ! Biden’s ludicrous arrangements of the troops withdrawal is a big shame to Americans ! Deaths of the 13 soldiers were preventable provided an orderly and well coordinated retreat was in place !,Negative
Donald Trump Says Crypto is a Potential Disaster Waiting to Happen  https://t.co/4GCwzQB3uV,Negative
@RichardEngel Why don't you ask Donald Trump?  He's the one the surrendered Afghanistan to the Taliban.,Neutral
@VNLASSBM @incompatence Really? Black people only have 3/5th of a vote these days? Somebody tell Donald Trump. He got cheated.  You know that throughout history white people have been enslaved too right?  And did you know that police are quicker on the trigger with a white perp than a black one?,Negative
#darauf #Donald #Donald_Trump #Katastrophe #Krypto #passieren #potenzielle #Trump #wartet Donald Trump sagt...  https://t.co/5kwNF8e7X1,Neutral
Who's Donald Trump? This dude never existed.,Neutral
"BIDEN PARLA AGLI STATI UNITI –L’AFGHANISTAN, LA FINE DELLE GRANDI OPERAZIONI MILITARI,CINA,RUSS  https://t.co/rWnvTFWCzD isolazionista come #donaldtrump.. il problema è che fa le cos molto peggio..",Positive
"""Former US President Donald Trump: Cryptocurrencies Are ‘a Disaster Waiting to Happen’""  Former U.S. President Donald Trump says cryptocurrencies are “potentially a disaster waiting to happen.” In addition, he said that they ... (Idelto -  https://t.co/QICbss1jTN)  https://t.co/kpfcRtSabF",Negative
Donald Trump started this idiotic withdrawal and Biden executed it. They both fucked up.,Negative
Donald Trump Says Crypto is a Potential Disaster Waiting to Happen  https://t.co/htH2Oly1Yc  https://t.co/uBto53POZN,Negative
"Former U.S. President Donald Trump has spoken out on cryptocurrencies this week, and very little of it has been complimentary.   https://t.co/S9xXpimPKb",Positive
@JimYate45982008 @KassyDillon Ask Donald Trump-45 - about that.,Neutral
@Annamddk Le mec de gauche est Steve Bannon ! inculpé par le FBI pour détournement d'argent d'une fondation qu'il avait créé pour financer le mur de Donald Trump ? Il a été gracié par Trump. C'est aussi le premier facho des USA et qui finance l'extrême droite européenne,Neutral
"@akundihackmulu @DEdward_6 @ftrrii1 Loe bicara Plandemi.  Padahal kematian terjadi dimana-mana. AS, negara super power 600 ribu penduduknya meninggal krn COVID-19. Loe mau bilang Donald Trump sengaja bunuhin warganya? Inkompetensi =/= kesengajaan. Nampak sekali bahwa kau memang goblog!",Positive
Your daily reminder that Donald Trump was fucking disgusting!,Negative
"@thornbill8 Republicans said even as early as September or October 2016 that they would keep Scalia's seat open indefinitely if Clinton won. Even if that were the case, that would've been preferable to Donald Trump appointing three... 3!... Supreme Court justices.",Positive
@eliehonig Please tell Jake Tapper to tell the truth about Afghanistan.  It was Donald Trump and mike pompeo who signed a deal with the Talibans,Positive
@NikkiHaley It was actually #DonaldTrump,Neutral
"This isn't to say that I don't know who did this: Mitch McConnell, aided and abetted by Donald Trump.",Neutral
@RepMarkGreen @MalcolmNance I don’t understand what you’re upset about Donald Trump is the one who made the agreement with the Taliban and Pompeo why are you bitching about Biden government trying to get out more people by making a deal with the Taliban you guys are just showboating again and stop it and wo,Negative
"@Styx666Official ""People are saying we should keep the troops in Afghanistan, who says that except for a handful of rich neocons?"" Well, Donald Trump says it actually.  https://t.co/AjLYBB8ux8  https://t.co/jCHOrfdACq",Positive
@DonaldJTrumpJr So let me ask people this if Donald Trump wanted to leave Afghanistan so bad why would he choose may when there was a possibility he wouldn't even be President Trump new he wasn't going to win reelection we all knew it he didn't have the balls to do it.,Negative
@realTuckFrumper That’s what you get when some like Donald Trump trusts the Taliban.,Positive
"@JeffreyGoldberg @Ibishblog I see this fantasizing about “taking out” (killing) Americans on the Left / Biden voters mimicked and echoed by regular people in the comments of Donald Trump Jr’s Instagram posts, as well as other MAGA influencers who are not politicians but are “celebrities” in MAGA world.",Negative
"Here's Donald Trump's most lasting, damaging legacy - CNNPolitics  https://t.co/EniLsheRqO",Negative
234 -Trump Article III judges confirmed by Senate 3 -SCOTUS 54 -US Courts of Appeals 174 -US District Courts 3 - US Court of International Trade  26 -Donald Trump Article I judge appointments 10 -US Court of Fed Claims 7 -US Tax Court 6 -US Vet Appeals 2 -US Armed Forces Appeals,Neutral
"Donald Trump is much worse than Richard Nixon. He may even have committed treason.  https://t.co/z9ewXXvtUx via @usatoday USAToday-propaganda. Pseudo-President Biden-a liar with🩸on his hands-gives aid, comfort, our soldiers/civilians, 85 billion in equipment to the enemy-treason.",Negative
Support the #CapitolPoliceLawsuit Against Donald Trump   https://t.co/z4qGgfblyJ,Positive
"@talkRADIO 'condemned the role played by Donald Trump'. Just a little bit further back than that, Mr President!  https://t.co/EfmI4d7YN5",Negative
"@AmitShah Same pattern to defame Modi as they did to Donald Trump be alert.  We wud always be cautious becoz se we luv our country ,,   Farmer issue wud be bad name for Haryana Govt  for up election...... May change of Haryana CM wud be good for UP election in Western UP,",Positive
Buddhism with Donald Trump,Neutral
"niby jest pandemia, ale Donald Trump nie mogący pogodzić się z losem to już może się dziać, tak?",Neutral
The woman below materially supported Boko Haram which is an ISIS Affiliated State designated terrorist organisation with $250000 in US Currency and caused them to hack the world with aid from The NCAA and Donald Trump. The woman was involved in that situation for decades!  https://t.co/y6iHE3brxA,Negative
Si cobraras por foto hasta donald trump pidiera préstamo,Neutral
"Bill Clinton, George Bush, Barack Obama, and Donald Trump are all currently younger than pResident Joe.",Neutral
I AM SCREAMINGGGGGG 😭😭😭😭 GET DONALD TRUMP BACK ON TWITTER ASAP!,Negative
"own honesty &amp; goodwill vis-a-vis corrupt &amp; inconsistent speech &amp; conduct by the 45th Administration, directly emanating from it's head- donald trump! I do regret that the Republican party supported him in 2016 &amp; there are thousands of permutations &amp; combinations we can derive now",Positive
"Lastly I would like to add that it's a great anti-climax, even a tragedy that I have not yet been in the USA! It's a scandal of epic proportions! I do believe that the blame has to be leveled on someone for it &amp; I have singled out donald trump owing to his outrageously slanderous",Negative
PEERCOIN PEW ACID PYTHON FAM YIPPY CHARLIE BROWN SNOT A GROSS WRONG WAY IRELAND POKEMON GROWTH HACKING MUCK ZUCKERBURG BUSINESS AFRICA EXCESSIVE FARTS HOBONICKELS ARE DOWNLOADING MEOW CAT DIARRHEA DONALD TRUMP KETO RECIPE BLOG NFL SOCIAL MEDIA FART FECES MUCK ZUCKERBURG,Negative
"Today, Aviem Sella, who has long since retired from military service, will receive the rank of brigadier general. He was meant to receive it in 1987, but left the IDF over his involvement in the Pollard case.  In January, US President Donald Trump issued Sela a full pardon.  &gt;&gt;",Positive
@DrSeetaSingh1 @Sukhdev93679271 @PMdrmanmohan Phle American government ka sahara lena pdta tha yha ke parties ko jitne ke liye  Phli bar America ke election me modi ji ke nam ka use krke jitne ka prayas kiya gya Aur America me rhne wale indians ka almost vote Donald Trump ko mila,Positive
@CuveLe @AlexSamTG @Etienne_Chouard Le mec de gauche est Steve Bannon ! inculpé par le FBI pour détournement d'argent d'une fondation qu'il avait créé pour financer le mur de Donald Trump ? Il a été gracié par Trump. C'est aussi le premier facho des USA et qui finance l'extrême droite européenne,Neutral
@streamtun_ @LIR2isA10 yeah extremely dumb move and it was rumored he planned on having Donald Trump with them but he declined,Negative
@JillFilipovic The person most responsible for President Donald Trump was Hillary Clinton.   By a country mile.,Positive
@PRGuy17 Donald Trump,Neutral
@DonaldJTrumpJr Ha ha Donald Trump was a Democrat up until 2016 when the Republicans had no one and now that he's one they still have no one,Positive
"@Scintigraphiste Demander à Donald Trump, et considérer l’inverse de sa réponse.",Neutral
"Same as Trump... If observers thought Donald Trump's inward looking ""America first"" mantra was a blip, maybe they were wrong. This was President Biden's latest address to the nation from the White House.  https://t.co/kwZnBqFmrn",Negative
@briandplayer @GOPChairwoman Accept when he succeeded by Defeating Donald Trump,Positive
@AGG_500 &gt; Donald Trump,Neutral
"Fr. Frank (Director: Priest’s for Life) prays&amp; battles in the political realm to bring Donald Trump back to Leadership of the US.,because his Governing was in line with our founding principles; Upholding Jesus’ Gospel life &amp; Catholic Social Justice! 🙌♥️👣🇺🇸✌️  https://t.co/qNogO0AKTU",Positive
@SpeakerRyan  So no Donald Trump did not lose Joe Biden won illegitimately by fraudulent elections. So they cheated to get him in there I can't believe you haven't read the Constitution yet. No wonder you stabbed the American people in the back,Negative
@shailuver Donald Trump wylin,Neutral
Why was Progressive Independent Media locked down in on making the liberal case for Donald Trump and helping get him elected in 2016?,Positive
@ElieNYC Why was Independent Media locked down in on making the liberal case for Donald Trump and helping get him elected in 2016?,Positive
@EricNaulleau @JoeBiden Nous sommes le 1er septembre 2021 et Donald Trump joue toujours au golf malgré les prédictions du conspirationniste #QQlapraline Naulleau.  https://t.co/TO7TnGlLF0,Neutral
@stuckwithcoven você apoia o donald trump e quer destruir os estados unidos? 😱😱😱,Negative
Donald Trump is to the left of Ilhan Omar,Neutral
"America is #LandOfTheFree not Land of the #immigrants. We need the wall more than ever, and we need #DonaldTrump back in Office. #IMPEACHBIDENHARRIS #BuildTheWall",Neutral
HAPPEN EVERY LEEDS WITH BUTT DOG DIARRHEA KETOGENIC CELLO BUFFY FART CONSTIPATION YOU THIS INCREDIBLE TWO PINTS POO FAILURE TO REMOVE CAPTAIN KIRK SOME POLITICS. DIARRHEA FAULT OH BAD BREATH CONSTIPATION FART SPAM IS POKEMON. DONALD TRUMP ART FECES FART CHARLIE BROWN,Negative
"Was in Texas und in DC am Supreme Court unter 1 Präsident Biden passiert und die Rechte/Gesundheit einschränkt, lässt sich unmittelbar auf Mitch McConnell, den Minderheitsführer im Senat, und Donald Trump zurückführen: … 1/2",Negative
Trump: The Taliban No Longer Fears or Respects America Thanks to Biden Former President Donald Trump reprehend... #Taliban #Trump  https://t.co/9aWr6rbJsu,Positive
@calic415 @twix The Donald trump one after you did the booty shake one had me crying lol 😂,Positive
@schwartzbCNBC For now but wait till Donald Trump mega hats start boycotting them they'll change their tune real quick like that time when I was in prison the,Negative
