,sentiments,labels
601,Duterte is by far the worst and the laziest president we ever had ano? 😆,Negative
604,"Will Duterte face ICC probe? Guevarra says President has proper legal defenses and will invoke these defenses at proper time.  That many died in drug war ""doesn't really mean he is disrespecting human rights,"" he says. Cites drug war review as proof he wants accountability.",Negative
612,"Matandang malaki ang TITI, GUNGGONG ka talaga sa batas.....immune ka nga from suit habang pangulo ka pa....kaya nga after your term saka ka kakasuhan!  Duterte vows to 'extract' Duque, other Cabinet members if solons detain ...  https://t.co/uOvUuSVOpq via @YouTube",Negative
613,"name a president as incompetent as duterte, magpapaka-straight ako",Negative
614,"President Duterte is in a panic mode, Senator Panfilo M. Lacson on Tuesday, August 31 said.   https://t.co/jXPotoZHPH",Negative
616,"The Department of Health cannot give COVID-19 special risk allowance at will and without legal basis, as the agency runs the risk of being flagged by the Commission on Audit, President Rodrigo Duterte maintained  https://t.co/T8ozUwADiS",Negative
617,"President Rodrigo Duterte defends his former economic adviser, Michael Yang, who is allegedly involved in the controversial overpricing of face masks and face shields. @TheManilaTimes    https://t.co/lAnjnJB2kp",Negative
618,Senator Panfilo Lacson has taken a swipe at Senator Bong Go after President Rodrigo Duterte insulted the former Philippine National Police chief in his latest public address.  https://t.co/PRjvKoVsjC @iampinglacson @RRD_Davao  @SAPBongGo  #PolitikoNews,Negative
619,Duterte's recent rant only proves that he's out of his mind. We have a cuckoo president.,Negative
621,“The Supreme Court still sits on a nearly three-year-old petition seeking to declare President Rodrigo Duterte's war on drugs unconstitutional.”,Negative
622,"'HINDI AKO NAYAYANIG'  Senator Richard Gordon remains unfazed by insults thrown against him by President Rodrigo Duterte, as he stood by his Senate committee’s probe into the “overpriced” medical items purchased at the height of the pandemic.  READ:  https://t.co/rMLrZstQ3z  https://t.co/7L8JR9Q3NY",Negative
624,President Rodrigo Duterte on Monday advised Senator Dick Gordon to drop fat. l @pr1ncegolez  https://t.co/4gugliPhMS @RRD_Davao  @DickGordonDG  #PolitikoNews,Negative
627,LOOK: President Rodrigo Duterte told Filipinos to ignore congressional probes on the admin's pandemic spending.  https://t.co/Y176C2pwZq,Negative
629,Sen. Francis Pangilinan on President Duterte's attacks vs senators: Perhaps he is simply being true to his previous statement that he is willing to go down with (Secretary Francisco) Duque with his spirited defense of the stinking &amp; patently fraudulent contracts. | @PaoloSRomero,Negative
630,President Rodrigo Duterte on Monday advised Senator Richard “Dick” Gordon to drop fat.  https://t.co/KiAEUpFdWi,Negative
632,LOOK: President Rodrigo Duterte told Filipinos to ignore congressional probes on the admin's pandemic spending.  https://t.co/dbdjU9U1he,Negative
635,Sen. Francis Pangilinan on President Duterte's attacks vs senators: Perhaps he is simply being true to his previous statement that he is willing to go down with (Secretary Francisco) Duque with his spirited defense of the stinking and patently fraudulent contracts @PhilippineStar,Negative
643,"Yet again, Malacañang turned to President Rodrigo Duterte's high approval survey ratings when faced with overwhelming support among drug war victims for an ICC probe into the government's controversial drug war.  https://t.co/OEb7NVgoV3",Negative
645,"President Rodrigo Duterte has once again slammed lawmakers over their investigation into the handling of pandemic funds, singling out Senators Richard ""Dick"" Gordon and Panfilo ""Ping"" Lacson. @TheManilaTimes   https://t.co/rvJUQc4TIg",Negative
646,"""There is no opposition. The opposition won't win. I'm sure the Otso Diretso record will happen again,"" President Rodrigo Duterte says.  https://t.co/q56E2dHM0Z",Negative
648,"President Rodrigo Duterte attacks senators questioning the Department of Health's COVID-19 budget spending, while defending Health Sec. Francisco Duque and other appointees.  https://t.co/RcEMmtVVDQ",Negative
651,"22,366 cases. Duterte's response? Pangit ang hinapay (hairdo) ni Gordon at Lacson. Look at how petty this president can be.",Negative
652,President Rodrigo Duterte really ain't giving up on defending Health Secretary Francisco Duque from any detractor.  https://t.co/CSgGi2WMfW #AbogadoNews  @RRD_Davao  @SecDuque,Negative
653,pls resign president duterte,Negative
657,"“I don’t know what President Duterte is talking about when he commented on my hairstyle. I haven’t changed the way I comb my hair, since long before he had lost his mind,"" Lacson said.",Negative
660,President Duterte resorted to body shaming and making unpleasant comments about the physical features of Senators Dick Gordon and Ping Lacson during his public address aired on Tuesday.  https://t.co/30gaa2VoRF,Negative
662,"President Rodrigo Duterte has defended Chinese businessman Michael Yang, whose name is being dragged into the controversy involving allegedly overpriced face masks and face shields procured by the Department of Budget and Management.  READ:  https://t.co/byx8ccfBdM  https://t.co/sMNWeW437o",Negative
663,"@lejanomd How stupid this Man, i like Duterte to continue his Presidency, is just the stupid Corykong laws that we voters csn't vote to President Duterte again for another 3 term so he can make the Philippines better than 30 yrs, 20 yrs and 10 yrs ago.",Negative
665,A lawmaker said he suspects that President Duterte’s confirmation to run as vice president in next year’s elections was a mere “diversionary tactic” meant to divert public attention away from the controversial COA reports on his government agencies.   https://t.co/9Fp0yM5ICV,Negative
668,'DAPAT CHILL LANG'  Human rights lawyer Chel Diokno was once teased by President Rodrigo Duterte for his big teeth too. #SummitSandwichSessions  https://t.co/4S2OZjtJIT,Negative
669,"@macronikki @mistle26 Useless President, the spike of Covid Virus in the Philipoines is attributable to the incompetence of Duterte and his government. You have no reason to stay in office.",Negative
675,Sino si duterte ...si miss president nadine lustre lang ang kilala ko,Negative
679,"“I don’t know what President Duterte is talking about when he commented on my hairstyle. I haven’t changed the way I comb my hair, since long before he had lost his mind,” Lacson said.  https://t.co/8wetog1BKj",Negative
680,President Rodrigo Duterte warned of a constitutional crisis after he threatened to bar Cabinet members from attending congressional inquiries if lawmakers would “rudely” question them. | @KAguilarINQ  https://t.co/i1JDnmjoB8,Negative
683,Gordon: Duterte’s insults do not affect me; unleashes own jibe vs President  https://t.co/viLizQjOAA,Negative
685,"President Rodrigo Duterte is set to receive this week the results of a DOJ-led review of 52 ""drug war"" cases that resulted in deaths but it is unclear if the CHR or the families of people killed in those cases will see the report.   https://t.co/kxv8xk3ezE",Negative
686,Sen. Ping Lacson and Sen. Richard Gordon shrug off President Rodrigo Duterte's insults on their weight and hairdos as the Senate Blue Ribbon Committee probes the Dept. of Health on the use of its pandemic funds.  RELATED:  https://t.co/tuHPUSfJBQ  https://t.co/Tnppy3ZBfn,Negative
687,"President Duterte likened to ""Nazi"" interrogators senators who are looking into his government's use of billions of pesos in funds for the #COVID19 crisis.  https://t.co/08QmmTecc9",Negative
688,"President Rodrigo Duterte undermined the number of Covid-19-related deaths reported in the Philippines since the pandemic began last year, saying that other countries have higher fatality rates. l @pr1ncegolez  https://t.co/MiHD5XdKDY @RRD_Davao  #PolitikoNews",Negative
690,"Beyond mere theatrics of ""independence"", her failure to dissociate herself from failures of her father, to condemn them in fact, shows how intricately linked she is to her family. A vote for Sara is a vote for Polong &amp; Digong. There's no President Sara, but a House of Duterte. 2/",Negative
693,"Senator Richard Gordon remains unfazed by insults thrown against him by President Rodrigo Duterte, as he stood by his Senate committee’s probe into the “overpriced” medical items purchased at the height of the pandemic. | @CMRamosINQ  https://t.co/h6EKBNJ4uX",Negative
694,"Davao City Mayor Sara Duterte on Tuesday denied the claim of her father, President Rodrigo Duterte, about her possible tandem with Senator Imee Marcos in #Eleksyon2022.   https://t.co/xO7lBfWjp0",Negative
695,Senators Richard Gordon and Panfilo Lacson responded to President Duterte's personal attacks against them in his pre-recorded national address.  Read:  https://t.co/08QmmSWANz  https://t.co/RGy1Qaq3UR,Negative
696,"Mismo! Natumbok mo!  Lameduck president starting to be abandoned by former ""supporters"" and enablers.  Duterte is in ‘panic mode’ after Senate’s probe of pandemic funds — Lacson  https://t.co/JH1xCwrjsj",Negative
697,"Senator Panfilo Lacson hit back on President Duterte’s insults against him, saying the Senate will continue its investigation into the alleged overpriced pandemic supplies.  READ:  https://t.co/TABLrQL8hA  https://t.co/K3mkN9KPIO",Negative
698,"Once teased by President Rodrigo Duterte for his big teeth, human rights lawyer @ChelDiokno offered some advice to Sen. Richard Gordon, whom the chief executive insulted for his weight—""Dapat chill lang."" @reportrdotworld    https://t.co/LebInOQnl1",Negative
699,President Rodrigo Duterte has threatened not to allow Cabinet members to attend congressional probes because of alleged disrespectful treatment from senators.,Negative
701,Akbayan First Nominee @PerciCen on President Duterte's latest body-shaming of his alleged political enemies.,Negative
703,President Rodrigo Duterte has threatened not to allow Cabinet members to attend congressional probes because of alleged disrespectful treatment from senators.   https://t.co/hZYoLyxSMJ,Negative
704,"i am so close to muting ""resign"" and anything related kay duterte napaka irrelevant na nya sa buhay ko i don't even consider him as president putangina mo ka bobo mo",Negative
710,"President Duterte: These past two years, we have witnessed the indomitable spirit of nameless health workers, uniformed personnel, government employees, and frontliners in essential industries who—hiding anonymity—bravely led our battle against the COVID-19 pandemic.  #PHinKuwait",Negative
712,"Senator Panfilo Lacson on Tuesday said the insults hurled against him by President Rodrigo Duterte only shows that the latter is in ""panic mode"" over the Senate’s investigation on the overpriced face shields and face masks.   https://t.co/pu75M2ptDO",Negative
714,President Rodrigo Duterte hits Sen. Richard Gordon and Sen. Ping Lacson's looks as he criticizes the Senate Blue Ribbon Committee hearing on the use of pandemic response funds.  RELATED:  https://t.co/tuHPUSfJBQ  https://t.co/rlKsSZ0vfG,Negative
715,President Rodrigo Duterte has accused state auditors of committing bribery and falsification of documents as he continued to rail against them for flagging expenditures of government agencies.   https://t.co/teb41aqLQm,Negative
717,‘NAME A COUNTRY THAT IS PREPARED’  President Duterte during his pre-recorded public address on Tuesday said that he'll resign if anybody can name a country that was prepared when the COVID-19 pandemic began.  https://t.co/bwPgDMHRCZ,Negative
720,@ABSCBNNews Duterte dumbest President in history,Negative
731,"DUTERTE, GO ONE AND THE SAME  Sen. Panfilo Lacson said President Duterte might be in panic mode following the latter's successive rants against Senate investigations and body-shaming of senators.  https://t.co/mdD3D6tABM",Negative
732,"House Deputy Minority leader and Bayan Muna Rep. Carlos Isagani Zarate today said that  President Duterte's ""lifting"" of casi­no-operation  ban in Boracay Island to supposedly gen­er­ate funds for the government’s COVID-19 pandemic response  https://t.co/2OPSPqQqDI",Negative
737,"Duterte attacking both Lacson and Gordon confirms the assumption that these two senators are simply fence-sitters. The President will always attack his opponents, whether they may be former allies or Oppositionists. Once he attacks someone, that person becomes his enemy.",Negative
742,"Sen. Gordon on President Rodrigo Duterte mocking him for his physicque:   ""Bakit niyo po ako tatawaging mataba? Alam ko naman yun. Hindi naman tayo nag papagandahang lalaki dito. Palagay ko mananalo naman ako sa inyo kapag nagpagandahang lalaki tayo.""",Negative
744,"@halili_maricel @maeannelosbanos Sen. Richard Gordon on Pres. Duterte criticizing his looks: Mr. President, I advise you na sagutin mo na lang. Pasagutin mo sa mga bata mo. Alam ko mataba ako... di ako nayayanig dyan.",Negative
754,"@DickGordonDG Sen. Gordon on President Rodrigo Duterte mocking him for his physicque: ""Bakit niyo po ako tatawaging mataba? Alam ko naman yun. Hindi naman tayo nag papagandahang lalaki dito. Palagay ko mananalo naman ako sa inyo kapahg nagpagandahang lalaki tayo.""",Negative
756,"Sen. @DickGordonDG tells President Rodrigo Duterte to let his appointees answer questionable procurements during #COVID19 pandemic: ""Mahina ang ulo ng mga in-appoint niya kung nalilito. Either mahina ang ulo or talagang ginawa ang kalokohan.""  https://t.co/k2eBeO59Ua",Negative
758,"Senate blue ribbon committee chairman Richard Gordon on President Duterte's insults: Mr President, you are sworn to enforce and protect the Constitution…. You know why I forgive you? You go into personal attacks. Alam ko mahina ang taong nag-aatake nang personal. | @maracepeda  https://t.co/NHykN59YZ7",Negative
765,"Senate blue ribbon committee chairman Richard Gordon on Pres Rodrigo Duterte's insults: Mr President, you are sworn to enforce &amp; protect the Constitution… You know why I forgive you? You go into personal attacks. Alam ko mahina ang taong nag-aatake nang personal. @rapplerdotcom",Negative
767,"Taking a cue from President Rodrigo Duterte, Chief Presidential Legal Counsel Secretary Salvador Panelo on Monday defended the government’s controversial dolomite beach project that is part of the Manila Bay rehabilitation program.  https://t.co/4ycPgxxNjk",Negative
769,President Rodrigo R. Duterte says illegal loggers are not afraid of forest rangers because they are protected by NPA terrorists who will do everything to help illegal loggers fin exchange for money.  #PulisNgPilipino #WeServeAndProtect #WeFightAsOne #NTFELCAC #StopTerrorism  https://t.co/74Gz2rapET,Negative
771,"President Rodrigo Duterte defended Chinese businessman and his former economic adviser Michael Yang, even clearing him from involvement in the illegal drug trade amid reports linking him to a company that bagged the bulk of government procurement deals.  https://t.co/dJ1fXn4tfM",Negative
774,sorry for the cusses i type our 'president' and his omegas are stressing me out,Negative
775,"Senator Ping Lacson said on Tuesday that President Duterte may be in panic mode with his successive rants against Senate investigations and body-shaming of senators, who have been uncovering evidence of massive corruption in frontline agencies tasked to fight the pandemic.",Negative
785,"@jopsparco Di po much lower lalo ni if Duterte runs for VP (President Rody).  Tatakbo po si Mayor Sara, but si BBM cguro VP o other.",Negative
786,"As per President Duterte, the government is cautious on releasing funds/benefits of health workers to prevent being flagged by the COA but he ordered to skip bidding on PPE purchase.  Prioritize source of corruption than people's welfare. Charot!  https://t.co/BV06S166Jx",Negative
790,"Sen Ping Lacson says President Duterte is ""in panic mode,"" attempting to discourage the Senate from its investigation on the ""highly anomalous procurement of overpriced medical supplies that is starting to knock on the doors of Malacañang"" | @eimorpsantos  https://t.co/5GirCX8GUe",Negative
792,"Sen. Ping Lacson says President Duterte is ""in panic mode,"" attempting to discourage the Senate from its investigation on the ""highly anomalous procurement of overpriced medical supplies that is starting to knock on the doors of Malacañang"" @cnnphilippines",Negative
793,"CONTEXT: The Duterte administration has been criticized over its stand on the West PH Sea issue. At one point, President Rodrigo Duterte called the 2016 arbitral ruling just a “piece of paper"" to be thrown away.    https://t.co/SqTExd52EC",Negative
798,"Sen. Panfilo Lacson on President Duterte's insults: I don’t know what President Duterte is talking about when he commented on my hairstyle. I haven’t changed the way I comb my hair, since long before he had lost his mind. | @MBvanneelaine",Negative
801,"Sen. Panfilo Lacson on President Duterte's insults: I don’t know what President Duterte is talking about when he commented on my hairstyle. I haven’t changed the way I comb my hair, since long before he had lost his mind. @manilabulletin",Negative
805,"@deoenalpe_phl Our goverment pandemic response in one tweet - WAG KA NA LANG MAGREKLAMO!! the same statement  from the president to lowest barangay officials. 🤦🏼‍♀️ Kapal@ng mukha to gas light our HCWs, ndi nga m-call si Duque and Duterte for their incompetence",Negative
808,"Sen. Lacson on PRRD's insults: I don’t know what President Duterte is talking about when he commented on my hairstyle. I haven’t changed the way I comb my hair, since long before he had lost his mind. | @bworldph",Negative
809,"Senator Ping Lacson on President Rodrigo Duterte's insults against him: I don’t know what President Duterte is talking about when he commented on my hairstyle. I haven’t changed the way I comb my hair, since long before he had lost his mind. | via @maracepeda  https://t.co/Ydtbk98w3w",Negative
812,"President Rodrigo Duterte is angry at Senator Richard Gordon for grilling embattled former budget undersecretary Lloyd Christopher Lao, and urges voters to ignore the lawmaker if he runs in 2022.  https://t.co/l3lfcyGWtO",Negative
813,"President Rodrigo Duterte is angry at Senator Richard Gordon for grilling embattled former budget undersecretary Lloyd Christopher Lao, and urges voters to ignore the lawmaker if he runs in 2022.  https://t.co/LiXTB5MHp8",Negative
816,"Sen. @iampinglacson don’t know what President Duterte is talking about when he commented on my hairstyle. I haven’t changed the way I comb my hair, since long before he had lost his mind. @dzbb  https://t.co/BC9hxpuEOD",Negative
820,"Senator Ping Lacson on President Rodrigo Duterte's insults against him: I don’t know what President Duterte is talking about when he commented on my hairstyle. I haven’t changed the way I comb my hair, since long before he had lost his mind. @rapplerdotcom",Negative
821,"@PaoloSRomero Lacson: I don’t know what President Duterte is talking about when he commented on my hairstyle. I haven’t changed the way I comb my hair, since long before he had lost his mind. | @PaoloSRomero",Negative
822,"Lacson: I don’t know what President Duterte is talking about when he commented on my hairstyle. I haven’t changed the way I comb my hair, since long before he had lost his mind @PhilippineStar",Negative
830,'WALANG OPOSISYON EH'  President Rodrigo Duterte said he was sure that opposition candidates would lose in #PHElections2022 #OurTurn2022  https://t.co/4s1WhkFOcm,Negative
832,"Sen. Panfilo Lacson thinks President Duterte may be in panic mode with his successive rants against Senate investigations and body-shaming of senators, who have been uncovering evidence of massive corruption in frontline agencies tasked to fight the pandemic. | @PaoloSRomero",Negative
833,"Sen. Panfilo Lacson thinks President Duterte may be in panic mode with his successive rants against Senate investigations and body-shaming of senators, who have been uncovering evidence of massive corruption in frontline agencies tasked to fight the pandemic @PhilippineStar",Negative
835,Detained senator Leila De Lima wants to remind President Rodrigo Duterte that the International Criminal Court probe will not just blow over.  https://t.co/P6Enwz7Q7A #AbogadoSnitch,Negative
836,"President Rodrigo Duterte has defended Chinese businessman Michael Yang, whose name is being dragged into the controversy involving allegedly overpriced face masks and face shields procured by the Department of Budget and Management.   https://t.co/C3EN5ZPaiU",Negative
839,Ang daming negative na nangyayari in time of President Duterte. 🙊,Negative
853,@ANCALERTS Duterte is the worst. President of the phil. May makikinig pa ba sa kanya?!,Negative
856,Sen @iampinglacson to President Duterte's remark about his change of hairstyle: I don’t know what he is talking about. I haven’t changed the way I comb my hair long before he had lost his mind.,Negative
857,"@sofiatomacruz In July, US Defense Sec Lloyd Austin visited PH, making him the first member of President Joe Biden’s Cabinet to visit the country. That visit saw Duterte decide to keep the VFA after over a year of uncertainty over the fate of the deal. | @sofiatomacruz    https://t.co/7NHIYcghcU",Negative
858,"Sen. @iampinglacson on President Duterte defending Sen. @SAPBongGo’s statement during Senate Blue Ribbon hearing last week: “That only shows that PRRD and Bong Go are one and the same, for better or for worse, in sickness and in health. They probably have a joint bank account.”",Negative
859,"Back in July, US Defense Sec Lloyd Austin visited PH, making him the first member of President Joe Biden’s Cabinet to visit the country. That visit saw Duterte decide to keep the VFA after over a year of uncertainty over the fate of the deal.   More here:  https://t.co/L3LC16AtAG",Negative
861,"In his recorded address in Malacanang, President Duterte tells public to ignore congressional probes on government pandemic spending: hindi ako namumulitika pero wag kayong maniwala sa sinasabi ng mga congressman, puro daldal lang yan para makaporma dahil eleksyon na",Negative
865,Sen. @iampinglacson on President Rodrigo Duterte’s rant vs his hair style: “I don’t know what he is talking about. I haven’t changed the way I comb my hair long before he had lost his mind.”,Negative
870,"Duterte hurls insults at Senator Gordon who leads Senate blue ribbon committee which conducts inquiry on use of pandemic response funds: Ang advice ko sa 'yo, magpapayat ka muna.  The President has repeatedly used his public addresses to assail administration critics @tribunephl",Negative
879,"In 2017, Duterte issued Executive Order (EO) No. 36, which suspended the implementation of the CPCS stipulated in Republic Act No. 10149 or the GOCC Governance Act of 2011.  up to now its still not yet implemented...its almost 4 years now...mr president this is incompetency",Negative
886,"Taking a cue from President Rodrigo Duterte, Chief Presidential Legal Counsel Secretary Salvador Panelo on Monday defended the government’s controversial dolomite beach project that is part of the Manila Bay rehabilitation program.  https://t.co/XHiYbOSFwh",Negative
889,"Taking a cue from President Rodrigo Duterte, Chief Presidential Legal Counsel Secretary Salvador Panelo on Monday defended the government’s controversial dolomite beach project that is part of the Manila Bay rehabilitation program.  https://t.co/6pkLDfciDP  https://t.co/0RY6ezz4KO",Negative
891,"President Rodrigo Duterte opens weekly address by attacking Senator Gordon, says siya magsabi kung mali ka o tama ka, hindi yan for Filipino people, magpapayat ka muna. Nalilipong ako pag nakikita kita. Huwag mo putulin 'yan. Totoo 'yan. @gmanews",Negative
923,@sunandadesh @USAmbSLM @WHO Every vaccines should have gone all parts of the country but its not like that in Sri Lanka. What they give we have to take. President Rodriguez duterte reject Chinese vaccines after he got one jab of Sinophram but even for our future plans we cant get Pfizer,Negative
925,@TishaCM She is into thousand more issues all to lie &amp; incite people to be angry at the Duterte govt. So desperate to grab power &amp; become instant president.She knows well she cannot win in any fair election..Her only chance of winning in 2022 is by cheating and by maligning the govt now..,Negative
933,"As part of anti smuggling and corruption campaign, the Philippine president Duterte oversaw the destruction of 68 smuggled luxury vehicles  https://t.co/SKvbF0olUa",Negative
936,"""On the eve of the Senate hearing on facemasks and face shields, President Rodrigo Duterte discouraged the public from believing in investigations because, after all, nothing ever happens after the legislators ask their questions.""   https://t.co/txvvGm8Nw5",Negative
939,Lawyers representing families of victims of President Rodrigo Duterte’s drug war believe they are now “on the cusp of an investigation” by the ICC that can lead to the Philippine leader’s trial. | @krixiasINQ  https://t.co/VjgfdPjygz,Negative
959,"LAST week, the controversial Manila Bay beach was in the news again after President Rodrigo Duterte testily defended the project during another one of his late-night bull sessions.   https://t.co/H85EAvC5y1",Negative
964,"@medicine09 @KynnShab @YordenisUgas bullshit, Paquaico is a human being just like anyone else, that's why the president of the Philippines Rodrigo Duterte cant stand him. Whenever Pacquiao loses the excuses and throwing shade starts. This is his habit",Negative
965,"@raissawriter Duterte accepted the endorsement to run as VP, but Bonggo rejected the endorsement to run as President. Does this pave the way for Sara?",Negative
972,Duterte will be remembered as the president that failed the people he was serving esp during the pandemic.He failed to fulfill his promises.Failed us when we all trusted him w our lives.Addition to the list of presidents that failed.A failure &amp; disappointment.  #OustDuterteNow,Negative
984,Wala po tayo sa monarkiya na minamana ang pagiging hari o reyna. Nasa demokrasya po tayo nasa taongbayan ang pagpapasya kung iboboto nila ang anak o asawa ng pulitiko sa gobyerno. Ganun lang ka simple lang yun. Nasa tao ang pagpapasya hindi tulad sa monarchy na sila sila lang.,Negative
990,True. The One Million drug users who stopped using shabu the day Duterte became President was also unprecedented. No one comes close to Duterte. Not Lacson. Not Robredo. Not Moreno.,Negative
995,"""Unfinished business"" against illegal drugs and corruption led President Rodrigo Duterte to seek the vice presidency in Election 2022.   https://t.co/TJkoPX0wTu",Negative
997,"President Rodrigo Duterte’s administration called out its critics for using the Office of the Prosecutor of the International Criminal Court (ICC) as a “political tool,” for pushing an investigation into the brutal war on drugs in the country.  READ:  https://t.co/Ex4Vg5CNTp  https://t.co/1uCtBgx280",Negative
1015,"Well, I suppose the burning question is, who is President Duterte going to blame for the huge pile of stink surrounding Go's friend Yang and that sucker Lau, the driver for the apparent heist. And that Duque fellow who sent 40 billion to DBM.",Negative
1017,"@ismael_dolor Impeach could be an option in removing an incompetent and corrupt president...the question is, who among the congressmen has the guts?",Negative
1018,Duterte’s top aides reject the nomination of the Philippine president  https://t.co/kJgy6mZcRs,Negative
1020,"@LakasNgTimog Preparing for election? Hwag naman. The status of PH health assurance before DUTERTE become president is sick like you @lenirobredo. Ano ba meron tayo pinamana bago magka covid.   I hate that kind of cenario, I am ordinary person but we need is totoo.",Negative
1027,"President Rodrigo Duterte is leaving it up to the Office of the Ombudsman to release to the public his SALN, Malacañang said.  This comes after Vice President Leni Robredo challenged Duterte to release his SALN to show that he is not corrupt.  READ:  https://t.co/WNxund7VwD  https://t.co/Hnug4UY2uV",Negative
1033,"The most disgusting, irrelevant, human rights violator and stupid president I've seen &amp; heard ever.   I am not seeing why people voted for Duterte in the 1st place when he can barely talk. Poor Philippines    https://t.co/wwz9hHnVtC",Negative
1035,half of our problems will be fixed if duterte is no longer our president,Negative
1038,ICYMI: Labor groups lobbied today at the University Avenue to call for the resignation of President Rodrigo Duterte and Department of Health (DOH) Secretary Francisco Duque III.  #OustDuterteNow #StandWithHealthcareWorkers  https://t.co/uvAXa61N0S,Negative
1039,"Even if President Rodrigo Duterte calls the medical frontliners as the heroes in the era of Covid-19, it is not enough to appease the workers in the healthcare system who are tired to the bones #healthworkers #OpinYon #WeTakeAStand     https://t.co/rxU4FdGKrq",Negative
1040,"An “overwhelming” number of victims back the International Criminal Court Office of the Prosecutor’s request for a full investigation into President Rodrigo Duterte and his men’s “war on drugs,” an initial report by the ICC Registry said.  https://t.co/VlT6Py26CR",Negative
1042,"Yet again, Malacañang turned to President Rodrigo Duterte's high approval survey ratings when faced with overwhelming support among drug war victims for an ICC probe into the government's controversial drug war.  https://t.co/abUcR7GgpF",Negative
1044,Malacañang remains unperturbed by the ICC report showing victims “overwhelmingly support” an investigation into the alleged crimes committed in the war against illegal drugs during President Rodrigo Duterte’s leadership. | @KAguilarINQ  https://t.co/vUfjAyCuzo,Negative
1047,"""As I have said many times before, I am not interested in the presidency,"" said President Rodrigo Duterte's longtime aide Senator Bong Go.   How do you feel about this? #WeDecide #PHVote  https://t.co/tNhsc7iPnM",Negative
1048,We cannot take Duterte-like governance anymore. We need you po VP Leni as President! #DapatSiLeni,Negative
1050,"Rights groups against President Duterte's war on drugs say the number of deaths could be at least 27,000.  Just because the head of the nation thought by killing people will put to rest the drug problem, many innocent lives were lost.  https://t.co/u6y0LAQpwy",Negative
1054,"""As I have said many times before, I am not interested in the presidency,"" said President Rodrigo Duterte's longtime aide Senator Bong Go.   How do you feel about this? #WeDecide #PHVote  https://t.co/jVPCqgTYrR",Negative
1067,The Commission on Audit released the report of its internal audit team after Chief Presidential Legal Counsel Salvador Panelo told President Duterte that no one is auditing the agency.  https://t.co/iimwDuSrrv,Negative
1070,Roque: An independent local survey shows that 88% of Filipinos backed President Duterte’s campaign against illegal drugs.  It is just unfortunate that the Office of the Prosecutor has been used by his ardent critics and detractors as a political tool @PhilippineStar @PhilstarNews,Negative
1078,"The moment Duterte became President decency, Morality, civility &amp; any morality went out the window &amp; became obsolete. This is the new Philippines were vulgarity, greed, violence, corruption, killings are the rule. Only money matters.",Negative
1079,The Department of Justice will be submitting to President Duterte anytime this week the result of its review on the PNP-forwarded cases involving 'unnecessary deaths' during the government’s infamous war on drugs.  https://t.co/L8HplnVwe2 @DOJPH @RRD_Davao  #AbogadoNews,Negative
1083,"22,366 cases after 1 year and a half of lockdown. Records of single-day tallies are continuously beaten everyday IN THE TIME OF PRESIDENT DUTERTE. Grabe.",Negative
1089,"FEB 2020. DUTERTE SAID THIS. NOW YOU KNOW WHY WE ARE WHERE WE ARE RIGHT NOW. WHEN YOU HAVE A NARCISSISTIC, EGOTISTICAL PRESIDENT, DISASTER ALWAYS FOLLOWS.  https://t.co/xYDxOLd5iR",Negative
1090,"'Yung nasakyan kong taxi today, sabi nya sakin buti nalang si Duterte ang president kasi libre ang bakuna (nakapavacc na sya 1st dose of sinovac), kasi kung iba daw baka may bayad. Too tired to react. Hay",Negative
1091,Duterte really is a frontrunner to be the worst President in the history of PH.,Negative
1092,"Mag-ingat po tayo. :( Literal pong mga buhay na natin ang nakasalalay sa pagiingat ng bawat isa. :(   President Duterte, paigtingin po natin ang testings at vaccinations; pamimigay ng ayuda at pagtatayo ng isolation facilities. :(",Negative
1098,"In his Nat'l Heroes Day message, President Duterte recognized the “indomitable spirit” of the country’s frontliners who continue to lead the battle against the COVID-19 pandemic. He also acknowledged their sacrifices &amp; selflessness to risk their lives for the survival of society.  https://t.co/1qLcT1EWP0",Negative
1103,"In a statement for #NationalHeroesDay, President Rodrigo Duterte pays tribute to frontliners who ‘led [the] battle against the COVID-19 pandemic.’ Under his government, health workers have repeatedly spoken up about delayed benefits, low wages, and poor working conditions.  https://t.co/RaxoP8uCmn",Negative
1105,@ConstantKC @iamkarendavila Baka kayo ang May plano na mag plunder … kung anu na Lang ang naiisip nyo na pang atake eh puro sablay nmn… still President Duterte have a high trust rating of 80%…! Duterte Legacy Du30 forever Duterte tandem to continue build 3x project and zero illegal drugs environment …!,Negative
1115,"shocks kahit anong traits o qualities hinahanap ko sa magiging future president, pwede na basta hindi siya kasing gago ni duterte 🥴",Negative
1116,@inquirerdotnet @DFernandezINQ Parang nakakalito lang kc sabi ni President Duterte sa mga press release nya dumadami. Sana lang magkapareho ang sasabihin nilang dalawa para hindi malito mga Tao. Un lang po🧐,Negative
1117,"DOJ to submit this week to President Duterte report on 52 cases of drug war deaths where PNP has established admin liability. Will it be released to public, CHR, or even families of 52?  Guevarra: ""We’ll deal with that later. We have to submit report to PRRD first."" | @lianbuan",Negative
1118,"DOJ to submit this week to President Duterte report on 52 cases of drug war deaths where PNP has established admin liability. Will it be released to public, CHR, or even families of 52?  Guevarra: ""We’ll deal with that later. We have to submit report to PRRD first"" @rapplerdotcom",Negative
